level,area,macro_id,source_file,node_id,size,current_label,current_short_label,suggested_label,suggested_short_label,suggestion_rule,issue_flags,dominant_area_share,interdisciplinarity,programs_top,sample_titles
micro,Por clasificar,Area2_M06,Area2_M06.json,C416,13,C416 - Cirujano Dentista,C416 - Cirujano Dentista,C416 - Cirujano Dentista,C416 - Cirujano Dentista,current_clean,,1.0,0.0,Cirujano Dentista,Apicectomia
micro,Por clasificar,Area4_M00,Area4_M00.json,C197,39,C197 - Cirujano Dentista,C197 - Cirujano Dentista,C197 - Cirujano Dentista,C197 - Cirujano Dentista,current_clean,,0.6154,0.0,Cirujano Dentista,Ortodoncia Preventiva | Ortodoncia Preventiva | Ortodoncia Preventiva
